timestamp,frame_total_ms,undistort_ms,backend_ms,publish_ms
1561.699500,104.927,4.008,99.944,0.808
1561.799349,146.317,5.776,139.660,0.681
1561.899190,101.473,3.971,96.554,0.781
1561.999826,160.363,4.069,155.444,0.682
1562.099659,82.522,4.166,77.445,0.746
1562.199516,145.719,4.242,139.888,1.407
1562.299363,111.719,4.183,106.500,0.835
1562.399217,86.990,4.053,82.007,0.756
1562.499466,119.830,4.051,114.768,0.800
1562.599304,114.103,3.991,109.200,0.741
1562.699151,113.072,4.029,108.031,0.839
1562.799792,100.093,4.196,94.947,0.776
1562.899636,114.742,4.077,109.623,0.871
1562.999473,110.376,4.066,105.235,0.898
1563.099301,94.925,4.197,89.483,1.062
1563.199126,128.106,3.992,123.186,0.755
1563.299772,122.042,3.999,117.061,0.814
1563.399610,123.817,3.973,118.869,0.770
1563.499438,96.466,4.185,91.238,0.877
1563.599278,91.837,3.990,86.920,0.760
1563.699127,105.246,4.068,100.168,0.840
1563.799761,92.775,3.984,87.868,0.755
1563.899602,107.520,4.151,102.427,0.776
1563.999436,90.671,4.124,85.440,0.928
1564.099277,110.500,4.030,105.514,0.791
1564.199120,105.938,3.990,101.021,0.760
1564.299759,100.809,4.199,95.580,0.864
1564.399593,114.852,3.986,109.829,0.867
1564.499428,88.426,4.024,83.069,1.046
1564.599263,106.782,4.206,101.653,0.753
1564.699506,101.511,4.122,96.202,1.015
1564.799351,91.757,4.130,86.617,0.812
1564.899191,107.761,3.996,101.653,1.915
1564.999844,118.466,4.079,113.184,1.030
1565.099665,105.411,4.019,100.296,0.903
1565.199515,105.948,5.898,99.140,0.738
1565.299342,107.957,3.933,102.988,0.864
1565.399187,93.166,4.038,88.021,0.926
1565.499826,97.274,4.175,92.023,0.876
1565.599659,95.290,4.175,89.971,0.975
1565.699499,87.526,4.033,82.150,1.178
1565.799336,116.003,5.905,109.173,0.745
1565.899164,95.588,4.206,90.388,0.832
1565.999816,88.119,4.247,82.854,0.848
1566.099663,114.221,4.208,109.040,0.807
1566.199497,112.364,3.998,107.450,0.747
1566.299316,114.291,4.078,109.155,0.889
1566.399149,102.610,4.082,97.457,0.906
1566.499787,113.109,4.227,107.883,0.827
1566.599625,118.648,4.000,113.537,0.936
1566.699464,183.551,4.052,178.320,0.900
1566.799317,139.469,4.225,134.310,0.765
1566.899159,109.932,4.060,104.607,1.069
1566.999793,98.368,3.979,93.391,0.827
1567.099626,93.934,4.062,88.883,0.795
1567.199471,92.760,4.038,87.784,0.761
1567.299308,121.852,3.993,116.898,0.787
1567.399153,99.005,4.059,94.035,0.745
1567.499806,104.508,4.036,99.462,0.815
1567.599657,96.538,3.992,91.627,0.752
1567.699497,111.520,4.100,106.429,0.818
1567.799354,83.508,4.002,78.604,0.739
1567.899188,79.252,4.028,74.205,0.850
1567.999825,87.844,4.204,82.558,0.913
1568.099661,101.595,4.044,96.175,1.107
1568.199511,95.594,4.048,90.466,0.893
1568.299362,94.597,4.142,89.100,1.183
1568.399186,106.918,4.167,101.579,0.876
1568.499824,123.062,3.990,117.809,1.061
1568.599658,118.733,4.332,113.465,0.766
1568.699493,116.649,4.009,111.686,0.785
1568.799332,127.584,4.182,122.244,0.976
1568.899180,109.507,4.011,104.500,0.787
1568.999800,111.361,5.764,104.543,0.888
1569.099654,99.689,4.081,94.498,0.929
1569.199495,117.946,4.413,112.576,0.787
1569.299340,104.369,4.180,99.216,0.804
1569.399179,102.525,4.232,97.281,0.814
1569.499813,108.839,3.993,103.860,0.795
1569.599637,114.023,4.082,109.034,0.742
1569.699468,91.230,4.227,85.849,0.868
1569.799323,112.908,4.122,107.856,0.768
1569.899156,101.789,4.013,96.754,0.853
1569.999796,89.612,4.015,84.682,0.749
1570.099629,98.043,5.945,91.072,0.858
1570.199472,183.258,4.170,178.175,0.745
1570.299318,96.028,4.056,90.974,0.830
1570.399165,96.882,4.005,91.969,0.741
1570.499812,84.108,4.073,78.880,0.963
1570.599645,117.807,3.994,112.879,0.766
1570.699483,120.600,4.236,115.344,0.848
1570.799323,104.477,4.233,99.320,0.758
1570.899163,120.502,4.018,115.457,0.857
1570.999789,121.655,4.003,116.686,0.781
1571.099621,118.905,4.214,112.943,1.540
1571.199467,135.372,4.000,130.461,0.698
1571.299313,96.845,4.067,91.786,0.821
1571.399156,133.503,4.007,126.430,2.865
1571.499801,111.363,4.003,106.120,1.028
1571.599639,102.838,4.171,97.760,0.738
1571.699468,87.423,4.027,82.154,1.061
1571.799306,98.757,3.991,93.820,0.759
1571.899145,114.037,4.230,108.329,1.308
1571.999788,96.782,4.179,91.625,0.785
1572.099630,95.922,3.993,89.283,2.421
1572.199464,114.457,4.164,109.244,0.707
1572.299309,108.414,4.168,103.260,0.818
1572.399155,145.673,4.176,140.626,0.703
1572.499806,91.468,4.033,86.551,0.724
1572.599640,120.134,4.072,114.960,0.935
1572.699483,121.666,4.033,116.365,1.100
1572.799311,112.641,4.017,107.692,0.753
1572.899132,89.569,4.048,84.205,1.137
1572.999772,98.392,4.002,93.404,0.814
1573.099612,91.528,3.990,86.131,1.175
1573.199455,102.244,4.113,97.192,0.766
1573.299305,125.302,4.011,119.394,1.714
1573.399146,119.403,4.061,114.465,0.671
1573.499786,96.771,4.001,90.547,2.024
1573.599626,168.087,5.854,160.943,1.060
1573.699458,121.331,3.966,116.399,0.793
1573.799291,128.521,4.007,123.518,0.826
1573.899140,93.658,4.161,88.193,1.120
1573.999783,109.858,4.062,104.754,0.871
1574.099612,87.099,4.146,81.923,0.812
1574.199451,113.189,4.173,107.958,0.889
1574.299294,98.428,4.163,93.053,1.023
1574.399116,101.419,5.937,94.528,0.746
1574.499749,94.549,4.007,89.351,1.022
1574.599589,119.884,4.073,114.897,0.745
1574.699429,104.122,4.070,98.858,1.025
1574.799289,95.465,3.974,90.558,0.757
1574.899128,93.060,4.008,87.571,1.284
1574.999754,100.465,3.993,95.526,0.773
1575.099602,94.565,4.189,88.927,1.277
1575.199422,125.180,4.026,120.177,0.809
1575.299262,85.016,4.185,79.634,1.025
1575.399504,81.639,3.994,76.707,0.766
1575.499349,114.068,3.992,108.995,0.917
1575.599172,93.128,4.021,86.966,1.968
1575.699808,97.014,4.155,91.679,1.008
1575.799642,114.106,4.056,108.988,0.843
1575.899474,113.335,4.167,107.742,1.257
1575.999301,94.327,3.989,89.340,0.829
1576.099138,105.205,4.001,99.989,1.046
1576.199772,102.269,4.017,97.282,0.798
1576.299618,87.276,3.964,82.320,0.825
1576.399462,92.209,4.051,87.114,0.784
1576.499306,96.182,4.144,90.609,1.230
1576.599146,114.337,4.064,109.339,0.762
1576.699780,91.725,4.182,86.240,1.125
1576.799612,112.050,3.999,106.746,1.133
1576.899475,119.238,4.161,114.020,0.887
1576.999318,122.177,4.082,117.172,0.752
1577.099173,106.975,3.979,101.988,0.837
1577.199814,110.617,4.156,105.546,0.747
1577.299641,119.667,3.987,114.559,0.948
1577.399480,82.750,4.025,77.530,1.014
1577.499317,92.969,4.026,87.951,0.819
1577.599146,115.809,4.065,110.676,0.889
1577.699788,87.354,4.070,82.246,0.865
1577.799630,108.462,4.020,103.257,1.014
1577.899481,96.755,4.011,91.191,1.373
1577.999337,115.986,4.102,110.893,0.790
1578.099172,102.644,4.005,97.626,0.844
1578.199797,113.712,4.071,108.449,0.766
1578.299631,94.772,4.196,89.279,1.131
1578.399467,90.299,4.161,84.581,1.346
1578.499302,115.785,4.032,110.698,0.825
1578.599148,108.768,4.007,103.848,0.745
1578.699797,96.930,4.093,91.655,0.969
1578.799654,98.996,5.757,92.282,0.786
1578.899508,103.358,4.006,98.255,0.918
1578.999350,100.101,4.012,95.156,0.765
1579.099187,109.549,4.105,104.450,0.826
1579.199810,96.975,4.194,91.845,0.769
1579.299658,87.551,4.021,82.530,0.813
1579.399508,110.962,4.033,105.983,0.772
1579.499354,119.983,4.189,114.816,0.805
1579.599195,131.077,4.221,125.701,0.986
1579.699835,115.185,4.192,109.236,1.562
1579.799686,112.934,4.178,107.845,0.705
1579.899528,93.688,4.207,87.990,1.310
1579.999373,126.966,4.189,121.832,0.774
1580.099223,94.088,4.007,89.104,0.814
1580.199459,103.915,3.986,99.010,0.755
1580.299307,104.733,4.007,99.247,1.300
1580.399142,103.998,4.021,99.060,0.748
1580.499784,111.751,4.198,106.471,0.917
1580.599617,121.424,4.031,116.253,0.970
1580.699458,131.272,4.001,126.288,0.814
1580.799282,99.763,3.969,94.851,0.776
1580.899118,119.362,3.965,114.457,0.773
1580.999755,87.314,3.947,82.485,0.715
1581.099603,107.269,3.996,102.300,0.778
1581.199436,115.693,3.959,110.831,0.735
1581.299281,119.695,4.006,114.477,1.040
1581.399131,121.009,4.036,116.027,0.766
1581.499779,106.540,3.996,101.084,1.293
1581.599617,106.142,4.200,100.911,0.843
1581.699446,121.357,4.184,116.210,0.800
1581.799271,92.031,3.969,86.669,1.147
1581.899496,105.424,4.068,100.358,0.829
1581.999326,102.727,4.047,97.751,0.761
1582.099160,106.405,4.177,101.245,0.818
1582.199804,84.060,4.202,78.823,0.861
1582.299657,93.731,4.086,88.398,1.070
1582.399497,86.201,4.110,81.135,0.778
1582.499333,94.823,4.230,89.602,0.820
1582.599167,99.379,4.027,93.941,1.218
1582.699806,89.593,4.029,83.986,1.406
1582.799652,90.702,4.305,85.027,1.189
1582.899484,113.707,4.091,107.980,1.462
1582.999328,113.380,4.005,107.901,1.296
1583.099168,117.399,3.998,112.260,0.945
1583.199809,104.830,4.152,99.785,0.724
1583.299648,86.795,4.060,81.754,0.813
1583.399471,109.294,4.010,104.327,0.752
1583.499318,102.519,4.062,97.453,0.836
1583.599159,106.732,5.920,99.863,0.774
1583.699809,113.895,4.008,108.931,0.791
1583.799650,120.422,3.997,115.485,0.769
1583.899491,127.155,4.192,121.909,0.872
1583.999344,156.618,4.006,151.708,0.739
1584.099176,136.440,4.078,131.295,0.896
1584.199815,123.449,3.988,118.536,0.759
1584.299646,155.720,4.179,150.552,0.822
1584.399501,126.246,4.206,121.096,0.768
1584.499335,113.241,4.101,108.153,0.816
1584.599165,121.527,4.080,116.508,0.772
1584.699794,125.243,4.206,120.062,0.802
1584.799640,120.777,3.984,115.586,0.988
1584.899478,81.912,4.005,76.910,0.831
1584.999317,116.009,3.993,110.897,0.951
1585.099153,114.243,4.336,108.872,0.855
1585.199786,112.794,4.201,107.470,0.947
1585.299626,104.064,4.213,98.492,1.093
1585.399468,120.882,4.014,115.864,0.784
1585.499315,115.823,4.098,110.694,0.866
1585.599159,94.949,3.986,90.044,0.752
1585.699788,93.977,4.092,88.575,1.095
1585.799627,124.558,4.048,119.540,0.773
1585.899481,88.103,4.059,83.016,0.861
1585.999298,126.613,4.125,121.366,0.953
1586.099136,126.090,4.008,121.110,0.812
1586.199772,94.272,4.039,89.188,0.858
1586.299613,91.715,4.024,86.648,0.853
1586.399464,113.239,4.184,108.141,0.748
1586.499313,112.208,3.988,107.238,0.818
1586.599143,121.447,4.211,116.312,0.756
1586.699785,88.709,4.025,83.698,0.823
1586.799614,104.447,4.007,99.503,0.767
1586.899466,95.896,4.095,90.824,0.806
1586.999307,108.632,4.031,103.693,0.744
1587.099144,106.867,4.068,101.793,0.840
1587.199792,115.174,4.161,109.957,0.872
1587.299625,116.637,5.696,109.551,1.221
1587.399463,105.139,3.952,99.838,1.170
1587.499307,109.299,4.124,104.085,0.913
1587.599144,102.850,4.191,97.609,0.870
1587.699802,79.644,4.003,74.633,0.827
1587.799646,134.205,4.031,129.241,0.768
1587.899499,86.471,4.163,81.257,0.886
1587.999344,98.428,4.059,93.390,0.801
1588.099196,91.896,4.040,86.820,0.863
1588.199828,91.777,4.063,86.613,0.923
1588.299669,88.441,4.030,82.211,1.912
1588.399505,95.989,4.206,90.813,0.797
1588.499337,88.466,4.112,83.345,0.837
1588.599167,122.268,4.000,117.157,0.943
1588.699808,112.511,4.170,106.588,1.574
1588.799641,89.398,3.981,84.244,0.997
1588.899462,108.741,4.181,102.807,1.586
1588.999296,110.885,4.044,105.899,0.754
1589.099119,111.666,4.196,106.416,0.884
1589.199752,136.175,4.004,131.241,0.767
1589.299584,136.100,4.018,131.056,0.855
1589.399412,98.482,4.179,93.364,0.767
1589.499257,108.259,4.174,101.865,1.996
1589.599496,125.921,3.992,121.005,0.703
1589.699337,98.320,4.071,93.246,0.834
1589.799179,125.350,3.993,119.908,1.267
1589.899822,102.250,3.974,97.347,0.734
1589.999667,100.030,4.012,94.590,1.246
1590.099490,153.755,4.159,147.960,1.434
1590.199342,95.903,3.970,91.080,0.685
1590.299193,110.561,4.076,104.983,1.335
1590.399821,141.951,4.001,137.016,0.684
1590.499669,122.156,3.990,116.915,1.070
1590.599512,139.739,4.222,134.653,0.675
1590.699347,91.658,4.089,86.666,0.741
1590.799212,136.102,4.010,130.660,1.247
1590.899450,167.515,4.019,161.539,1.757
1590.999291,119.050,4.178,113.699,0.972
1591.099123,129.027,4.090,122.971,1.777
1591.199770,141.151,4.864,135.344,0.700
1591.299603,97.148,4.181,91.169,1.622
1591.399420,148.012,3.989,143.130,0.691
1591.499264,127.323,4.194,121.830,1.126
1591.599488,99.373,4.203,93.802,1.204
1591.699335,129.652,4.022,123.927,1.519
1591.799175,99.105,4.021,94.172,0.724
1591.899815,94.787,3.996,89.130,1.486
1591.999647,149.604,4.018,144.594,0.789
1592.099487,124.209,4.000,119.212,0.828
1592.199335,150.024,4.024,145.124,0.713
1592.299161,118.791,4.014,113.706,0.902
1592.399798,103.763,4.165,98.528,0.899
1592.499642,105.005,4.229,99.740,0.829
1592.599494,100.734,4.236,95.535,0.790
1592.699335,123.227,4.045,117.780,1.202
1592.799186,115.918,4.174,110.817,0.756
1592.899834,103.831,4.125,98.700,0.836
1592.999677,100.209,3.996,95.263,0.785
1593.099511,77.506,4.074,72.297,0.963
1593.199353,106.820,4.222,101.609,0.781
1593.299195,103.717,4.134,98.582,0.837
1593.399826,135.690,4.026,130.708,0.790
1593.499678,92.055,4.088,86.921,0.877
1593.599525,85.757,4.162,80.676,0.747
1593.699359,93.696,3.921,88.834,0.758
1593.799194,95.837,4.006,90.930,0.733
