timestamp,total_ms,feature_extract_ms
1347.399335,27.080,26.697
1347.499987,49.767,49.108
1347.599821,34.355,34.027
1347.699680,25.692,25.376
1347.799518,25.330,24.975
1347.899362,23.590,23.230
1347.999602,25.299,24.970
1348.099440,28.168,27.843
1348.199289,29.609,28.890
1348.299925,24.415,24.006
1348.399769,25.178,24.523
1348.499627,24.039,23.741
1348.599466,24.124,23.780
1348.699306,26.946,26.653
1348.799944,25.006,24.636
1348.899782,23.669,23.352
1348.999628,24.715,24.422
1349.099462,29.037,28.571
1349.199300,27.787,27.447
1349.299941,25.178,24.779
1349.399796,24.996,24.707
1349.499627,24.521,24.129
1349.599469,25.988,25.632
1349.699305,24.351,23.954
1349.799938,24.143,23.589
1349.899786,25.423,24.880
1349.999634,26.342,25.911
1350.099464,25.201,24.888
1350.199313,26.738,26.425
1350.299951,25.502,25.183
1350.399792,25.751,25.473
1350.499611,30.545,29.742
1350.599442,23.259,23.023
1350.699290,32.365,32.039
1350.799927,32.705,31.592
1350.899774,22.910,22.665
1350.999630,29.760,29.189
1351.099466,24.103,23.759
1351.199303,24.218,23.909
1351.299932,25.220,24.902
1351.399776,24.531,24.263
1351.499599,29.203,28.616
1351.599440,23.989,23.676
1351.699664,25.171,24.749
1351.799498,23.362,23.054
1351.899340,23.941,23.518
1351.999984,24.411,24.090
1352.099826,24.598,24.271
1352.199668,26.055,25.601
1352.299503,29.370,29.034
1352.399337,23.246,22.959
1352.499971,25.646,25.348
1352.599807,24.216,23.888
1352.699651,23.898,23.595
1352.799486,24.486,24.137
1352.899335,27.159,26.840
1352.999962,25.085,24.758
1353.099803,26.914,26.614
1353.199636,24.884,24.531
1353.299481,24.243,23.911
1353.399323,25.852,25.530
1353.499957,24.743,24.460
1353.599784,25.974,25.634
1353.699623,26.425,26.114
1353.799467,27.761,27.413
1353.899308,24.703,24.312
1353.999951,25.027,24.694
1354.099784,24.527,24.258
1354.199625,24.590,24.269
1354.299455,26.872,26.511
1354.399293,24.719,24.307
1354.499934,26.954,26.615
1354.599762,23.995,23.633
1354.699604,34.788,34.424
1354.799428,27.682,27.089
1354.899664,24.170,23.742
1354.999511,24.682,24.084
1355.099359,23.622,23.312
1355.199993,26.979,26.599
1355.299831,24.741,24.383
1355.399669,25.652,25.330
1355.499504,24.624,24.293
1355.599327,23.005,22.708
1355.699952,23.754,23.402
1355.799796,24.515,24.237
1355.899628,24.219,23.870
1355.999459,23.775,23.506
1356.099299,24.182,23.901
1356.199943,31.817,31.427
1356.299780,24.918,24.549
1356.399625,25.089,24.773
1356.499454,24.466,24.208
1356.599293,24.768,24.301
1356.699937,27.401,27.092
1356.799796,34.258,32.157
1356.899631,24.173,23.940
1356.999475,25.878,25.592
1357.099321,24.698,24.383
1357.199962,27.495,25.765
1357.299811,23.639,23.393
1357.399660,27.263,26.968
1357.499506,48.174,47.939
1357.599338,36.228,35.958
1357.699977,27.745,26.857
1357.799816,32.665,32.344
1357.899660,22.899,22.454
1357.999500,25.558,25.275
1358.099341,32.759,31.840
1358.199954,29.164,28.927
1358.299795,27.306,26.986
1358.399641,41.145,40.207
1358.499472,23.625,23.246
1358.599323,24.005,23.700
1358.699956,31.767,30.976
1358.799804,28.221,27.861
1358.899652,22.932,22.584
1358.999492,24.647,24.283
1359.099340,23.677,23.323
1359.199972,25.813,25.456
1359.299807,30.442,30.116
1359.399637,26.431,26.114
1359.499472,32.285,31.683
1359.599310,24.048,23.738
1359.699950,23.613,23.251
1359.799788,22.280,21.959
1359.899631,25.820,25.312
1359.999473,24.776,23.137
1360.099310,36.218,35.791
1360.199966,25.876,25.432
1360.299816,23.903,23.509
1360.399647,30.304,30.014
1360.499482,25.351,24.394
1360.599326,23.374,22.938
1360.699953,26.850,26.328
1360.799784,29.852,29.437
1360.899619,27.593,27.242
1360.999459,24.854,24.416
1361.099315,29.712,29.327
1361.199975,24.510,24.213
1361.299818,25.381,25.039
1361.399664,24.770,24.443
1361.499508,23.524,23.205
1361.599354,23.921,23.599
1361.699999,26.292,25.532
1361.799844,23.613,23.279
1361.899698,23.352,22.987
1361.999524,30.790,29.793
1362.099372,33.575,32.901
1362.199614,24.486,24.141
1362.299465,25.394,25.070
1362.399308,30.962,30.159
1362.499952,32.753,32.490
1362.599804,31.141,30.820
1362.699641,24.686,24.360
1362.799476,24.334,24.039
1362.899318,23.488,23.173
1362.999947,25.482,25.157
1363.099786,23.901,23.599
1363.199631,23.296,22.972
1363.299473,23.304,23.023
1363.399302,30.088,29.424
1363.499944,24.072,23.806
1363.599793,23.719,23.417
1363.699638,23.424,23.042
1363.799490,30.099,29.668
1363.899335,25.155,24.849
1363.999992,23.804,23.454
1364.099829,25.590,23.923
1364.199679,27.843,27.535
1364.299505,23.737,23.328
1364.399338,23.315,23.002
1364.499975,34.644,34.293
1364.599815,25.056,24.128
1364.699651,24.813,24.472
1364.799470,26.798,26.483
1364.899318,24.651,24.211
1364.999955,23.310,23.016
1365.099801,25.147,24.700
1365.199631,26.880,26.429
1365.299461,31.324,30.980
1365.399298,24.415,24.098
1365.499952,23.535,23.137
1365.599799,25.043,24.733
1365.699641,23.386,23.101
1365.799483,35.187,34.481
1365.899331,25.461,25.139
1365.999974,25.120,24.790
1366.099812,27.036,26.486
1366.199649,25.032,24.707
1366.299476,25.690,25.379
1366.399312,23.544,23.225
1366.499955,30.360,29.670
1366.599794,24.431,24.113
1366.699635,24.272,23.826
1366.799464,25.444,25.141
1366.899308,28.068,27.698
1366.999940,23.032,22.687
1367.099788,23.823,23.503
1367.199612,24.805,24.443
1367.299457,24.516,24.020
1367.399286,25.334,24.834
1367.499930,24.064,23.738
1367.599768,26.329,26.010
1367.699596,23.974,23.677
1367.799423,22.902,22.579
1367.899670,24.313,24.024
1367.999506,25.773,25.467
1368.099344,28.851,28.531
1368.199978,33.816,33.520
1368.299820,26.615,26.158
1368.399668,24.653,24.333
1368.499510,22.525,22.177
1368.599362,24.477,24.113
1368.699985,24.031,23.494
1368.799838,23.839,23.509
1368.899674,24.931,24.631
1368.999507,26.968,26.635
1369.099350,25.913,25.557
1369.199992,32.232,31.905
1369.299830,27.230,26.909
1369.399671,29.073,28.743
1369.499514,26.457,26.126
1369.599352,34.039,33.707
1369.699985,26.865,26.502
1369.799830,29.481,29.104
1369.899676,23.270,22.914
1369.999521,23.404,23.039
1370.099374,28.164,27.604
1370.199999,25.631,25.304
1370.299840,27.815,27.468
1370.399683,24.874,24.536
1370.499515,26.482,26.167
1370.599355,26.360,26.022
1370.699993,24.251,23.947
1370.799835,25.098,24.758
1370.899662,24.512,24.068
1370.999497,24.309,23.861
1371.099331,23.786,23.446
1371.199979,22.890,22.556
1371.299826,29.130,28.796
1371.399650,36.268,35.820
1371.499486,23.391,23.108
1371.599319,24.657,24.358
1371.699960,23.541,23.162
1371.799798,24.695,24.355
1371.899636,24.245,23.756
1371.999464,25.071,24.747
1372.099298,26.566,26.249
1372.199938,28.179,27.855
1372.299785,30.013,29.620
1372.399640,26.450,26.073
1372.499482,25.045,24.723
1372.599316,38.020,37.566
1372.699948,30.733,30.279
1372.799796,24.365,24.020
1372.899634,25.350,24.931
1372.999466,36.639,34.615
1373.099312,24.603,24.358
1373.199953,34.717,34.350
1373.299806,30.374,29.320
1373.399641,22.847,22.603
1373.499495,28.469,28.099
1373.599335,23.621,23.230
1373.699977,24.681,23.951
1373.799823,29.438,28.928
1373.899664,26.193,25.433
1373.999505,25.483,25.148
1374.099349,25.293,24.905
1374.199991,25.371,25.023
1374.299840,25.201,24.821
1374.399678,23.769,23.456
1374.499515,26.725,26.329
1374.599359,25.505,25.190
1374.699979,23.444,23.116
1374.799832,24.194,23.627
1374.899657,26.559,26.109
1374.999489,25.904,25.579
1375.099323,26.686,26.349
1375.199964,25.933,25.543
1375.299806,24.148,23.671
1375.399633,27.701,27.372
1375.499484,24.664,24.262
1375.599320,23.644,23.276
1375.699964,23.705,23.367
1375.799798,26.238,25.927
1375.899633,25.491,25.153
1375.999475,25.037,24.457
1376.099308,26.236,25.875
1376.199950,27.500,27.149
1376.299782,29.088,28.768
1376.399628,27.501,27.143
1376.499463,24.690,24.345
1376.599310,27.745,27.413
1376.699965,27.610,27.299
1376.799807,23.538,23.177
1376.899633,24.426,24.014
1376.999475,23.629,23.321
1377.099321,26.949,26.585
1377.199962,23.645,23.186
1377.299805,25.125,24.815
1377.399651,24.853,24.539
1377.499489,27.763,27.382
1377.599340,23.660,23.382
1377.699980,24.645,24.276
1377.799833,24.830,24.441
1377.899664,24.404,23.987
1377.999508,25.470,25.149
1378.099342,24.810,24.396
1378.199997,27.464,27.058
1378.299840,24.709,24.427
1378.399689,24.438,24.099
1378.499520,23.550,23.277
1378.599362,23.655,23.297
1378.699991,30.885,30.421
